Nom,siren,Descriptif,Profil,Nature (X),Tech (Y),Domaine,Marché Géographique,Client,Distrib.,Biz Model,Date création,Date cessation,APE (ref),Catégorie d'entreprise,Statut juridique,Adresse siège,Département,Nationalité,Soc à Mission,Site web
Vitalbase,432382927,"Conception d'objets connectés dédiés à la sécurité des seniors, incluant des détecteurs automatiques de chute et des solutions de téléassistance pour améliorer leur bien-être et leur autonomie.",Produit autonome,Produit,High Tech,Autonomie,National,Bénéficiaires,B2B2C,Abonnement,2000/06/16,,63.11Z,ETI,Société par actions simplifiée,2 BIS ET 2 RUE NULLY DE HARCOURT PARC D ACTIVIT 33610 CANEJAN,33,France,No,https://vitalbase.com/
VieConnect,824876288,Développement de technologies médicales pour la prévention de la santé.,Produit autonome,Produit,High Tech,Santé,National,EMS,B2B,Abonnement,2017/01/02,,62.02A,PME,Société par actions simplifiée,36 RUE DU LANGUEDOC 31000 TOULOUSE,31,France,No,https://vieconnect.io
VA2CS,539654202,"Un système d’alerte automatique visuelle détecte et analyse les comportements dans une pièce, notamment les chutes, les pertes de conscience, les levers nocturnes et les modifications de comportement, avec possibilité de levée de doute visuelle.",Produit autonome,Produit,High Tech,Autonomie,National,EMS,B2B,Abonnement,2012/01/12,,47.41Z,PME,Société par actions simplifiée,RESIDENCE LE KIPLING IMPASSE KIPLING 83600 FREJUS,83,France,No,https://www.va2cs.fr/
Ubiquid,791322209,Solution RFID pour le suivi du linge dans les maisons de retraite.,Produit autonome,Produit,High Tech,Vie pratique,National,Bénéficiaires,B2B2C,Abonnement,2013/02/18,,74.90B,PME,Société par actions simplifiée,10 RUE HIPPOLYTE MAZE 78220 VIROFLAY,78,France,No,https://www.ubiquid.fr/
Maase,849614797,Plaid thérapeutique conçu pour apaiser les patients souffrant de troubles cognitifs.,Produit autonome,Produit,High Tech,Santé,National,EMS,B2B,Abonnement,2019/03/26,,74.10Z,PME,Société par actions simplifiée,54 RUE MOLIERE 94200 IVRY-SUR-SEINE,94,France,No,https://maase.fr
Sonaide,951396498,Système d’analyse sonore permettant de prévenir les risques et de détecter les incidents au domicile.,Produit autonome,Produit,High Tech,Santé,Local,Bénéficiaires,B2C,Abonnement,2023/04/05,,62.01Z,,Société par actions simplifiée,263 AVENUE GENERAL LECLERC 35700 RENNES,35,France,No,https://www.sonaide.fr
OSO,844900639,Analyse d'activité par interprétation des sons.,Produit autonome,Produit,High Tech,Autonomie,National,EMS,B2B,Abonnement,2018/11/21,,62.01Z,PME,Société par actions simplifiée,LE GRAND LARGE QUAI DE LA DOUANE 29200 BREST,29,France,No,https://oso-ai.com
Ordissimo,443273511,"Des ordinateurs, tablettes et smartphones simplifiés, spécialement adaptés aux seniors et aux personnes peu à l’aise avec la technologie, avec des interfaces intuitives et des services d’assistance pour une utilisation accessible à tous.",Produit autonome,Produit,High Tech,Vie pratique,National,Bénéficiaires,B2C,Pay to play,2002/08/01,,47.91A,PME,Société anonyme à conseil d'administration,33-35 33 AVENUE LEON GAMBETTA 92120 MONTROUGE,92,France,No,https://www.ordissimo.fr
Novia Care,403561137,Solution innovante composée d'une box et de capteurs discrets qui analysent en continu le comportement des personnes âgées à domicile pour détecter les situations anormales et alerter un centre d'écoute ou un proche en cas d'anomalie.,Produit autonome,Produit,High Tech,Autonomie,Local,Bénéficiaires,B2C,Abonnement,1996/01/01,,62.02A,ETI,Société anonyme à conseil d'administration,TECHNOPOLE DE NANCY BRABOIS 5 ALLEE DE SAINT-CLOUD 54600 VILLERS-LES-NANCY,54,France,No,https://noviacare.com/
Morphee+,839317591,Détection de chutes et analyse des mouvements.,Produit autonome,Produit,High Tech,Autonomie,National,EMS,B2B,Abonnement,2018/04/19,,80.20Z,PME,Société par actions simplifiée,VILLAGE BY CA 16 RUE DE L'HOPITAL 21000 DIJON,21,France,No,https://www.morphee.eu.com
LiNote,801295130,"Service de communication assistée par tablette conçu pour les personnes âgées, permettant de recevoir des appels vidéo, des messages et des photos sans nécessiter de compétences techniques avancées, destiné principalement aux seniors ayant des troubles de la mémoire ou des difficultés avec la technologie.",Produit autonome,Produit,High Tech,Communication,National,Bénéficiaires,B2C,Abonnement,2014/03/05,,62.01Z,PME,Société par actions simplifiée,4 RUE DES ECURIES 54500 VANDŒUVRE-LES-NANCY,54,France,No,https://linote.fr/
Indienov,882938947,"Dispositif médical conçu pour prolonger l'autonomie des personnes âgées en prévenant les fractures du col du fémur, comprenant une ceinture airbag connectée qui pré-détecte les chutes, déploie des airbags pour amortir l'impact et alerte les proches ou soignants.",Produit autonome,Produit,High Tech,Santé,International (Eu),Bénéficiaires,B2C,Pay to play,2020/04/16,,62.01Z,PME,Société par actions simplifiée,CENTRE D AFFAIRES BAT 2 EUROBUROS 20 TRAVERSE DE LA MONTRE 13011 MARSEILLE,13,France,No,https://www.indienov.com/
Familink,978107845,"Cadre photo connecté permettant de partager des souvenirs et des photos en temps réel avec des proches, facilitant ainsi la communication visuelle au sein de la famille.",Produit autonome,Produit,High Tech,Communication,International (Eu),Bénéficiaires,B2C,Abonnement,2023/07/04,,66.30Z,,Société à responsabilité limitée (SARL),94 B CHE MACE 97411 SAINT-PAUL,97,France,No,https://www.familinkframe.com/fr/
Facilotab,384054516,"Tablette simplifiée conçue pour les seniors et les débutants en informatique, offrant une interface intuitive avec de grandes icônes, messagerie simplifiée, appels vidéo en un clic, et accès facilité aux photos et jeux, permettant aux personnes âgées de rester connectées avec leurs proches sans difficulté.",Produit autonome,Produit,High Tech,Autonomie,National,Bénéficiaires,B2C,Pay to play,1992/01/10,,58.29C,PME,Société par actions simplifiée,25 BOULEVARD DE LA PAIX 95800 CERGY,95,France,No,https://www.facilotab.com/
Emobot,912457512,"Solution d’intelligence artificielle pour le suivi continu des troubles de l’humeur, utilisant l’analyse des émotions par les expressions faciales et la voix pour aider au diagnostic et au traitement des troubles dépressifs.",Produit autonome,Produit,High Tech,Santé,National,EMS,B2B,Abonnement,2022/04/04,,62.01Z,PME,Société par actions simplifiée,15 RUE DES HALLES 75001 PARIS,75,France,No,https://www.emobot.fr/
Dring,809285208,"Une canne connectée qui détecte les chutes et alerte automatiquement les proches en cas de besoin, intégrant un système de géolocalisation et une téléassistance pour offrir plus de sécurité aux seniors tout en respectant leur autonomie.",Produit autonome,Produit,High Tech,Autonomie,National,Bénéficiaires,B2C,Pay to play,2014/12/18,,64.20Z,PME,Société à responsabilité limitée (SARL),APT NUMERO 18 31 RUE LUC LORION 97410 SAINT-PIERRE,97,France,No,https://dring.io/
DMCC,840338651,Solution visant à lutter contre la dénutrition et le gaspillage alimentaire en EHPAD.,Produit autonome,Produit,High Tech,Santé,National,EMS,B2B,Pay to play,2018/07/01,2025/03/25,47.52B,PME,Société à responsabilité limitée (SARL),28 RUE DU MOULIN A VENT 34720 CAUX,34,France,No,https://dmcc-france.fr/
Co-Assist,810063834,"Solutions d'alerte innovantes pour sécuriser les personnes âgées, adaptées aux besoins des établissements de santé et aux résidences seniors, avec des dispositifs faciles à installer.",Produit autonome,Produit,High Tech,Autonomie,National,Bénéficiaires,B2B2C,Abonnement,2015/03/01,,62.01Z,PME,Société par actions simplifiée,23 RUE GEORGES HEUILLARD 76600 LE HAVRE,76,France,No,https://www.co-assist.fr/
Bob le lave-vaisselle,821934916,"Mini lave-vaisselle innovant et compact, conçu pour s'adapter aux besoins des utilisateurs tout en respectant l'environnement.",Produit autonome,Produit,High Tech,Lifestyle,International (Monde),Bénéficiaires,B2C,Pay to play,2016/08/04,,26.40Z,PME,Société par actions simplifiée,ZONE ARTISANALE DU MORTIER EST 85610 CUGAND,85,France,No,https://daan.tech/fr/
Blue Frog Robotics,802107748,"Robot social conçu pour l'éducation, l'inclusion et l'assistance aux seniors, favorisant l'interaction et l'apprentissage tout en offrant des solutions personnalisables pour les entreprises et institutions.",Produit autonome,Produit,High Tech,Autonomie,International (Monde),Bénéficiaires,B2C,Loyer,2014/05/07,,71.12B,PME,Société par actions simplifiée,10 RUE MERCOEUR 75011 PARIS,75,France,No,https://www.bluefrogrobotics.com/fr/accueil
Ardoiz,507738862,Tablette digitale utilisée pour faciliter la communication et l'accès à des services en ligne.,Produit autonome,Produit,High Tech,Communication,National,Bénéficiaires,B2C,Abonnement,2008/07/28,,62.09Z,GE,Société par actions simplifiée,48 BOULEVARD ALBERT EINSTEIN 44300 NANTES,44,France,No,https://www.ardoiz.com/
Stannah,441823960,"Conception et installation de monte-escaliers, ascenseurs privatifs et solutions de mobilité à domicile pour les seniors et les personnes à mobilité réduite, favorisant leur autonomie et leur maintien à domicile.",Produit connecté,Produit,Hybride,Autonomie,International (Monde),Bénéficiaires,B2B2C,Pay to play,2002/04/16,,46.69B,PME,,LE CARRE DES AVIATEURS 157 AVENUE CHARLES FLOQUET 93150 LE BLANC-MESNIL,93,France,No,https://www.stannah.com/fr-fr/
BioAlva,953488103,"Développement de produits alimentaires innovants à base de légumineuses et de macro-algues fermentées, riches en nutriments, faciles à digérer et accessibles pour la restauration collective, bénéfiques pour les personnes ayant une santé digestive fragile.",Produit connecté,Produit,Hybride,Santé,Local,EMS,"B2B, B2G",Pay to play,2023/06/06,,72.11Z,,Société par actions simplifiée,10 RUE PABLO PICASSO 25000 BESANCON,25,France,No,http://bioalva.com/
Myloot,929274926,"Une plateforme aide les particuliers à inventorier et organiser leurs actifs, qu'ils soient physiques ou numériques, afin d'anticiper leur succession, simplifier les démarches administratives et faciliter la transmission du patrimoine à leurs proches.",Produit connecté,Produit,Hybride,Vie pratique,National,Bénéficiaires,B2C,Pay to play,2024/05/14,,63.12Z,,Société par actions simplifiée,37 AVENUE DE L'ILE DE MIGNEAUX 78300 POISSY,78,France,No,https://www.myloot.cloud/
Laboratoire Nutergia,6380042,Fabrication et commercialisation de compléments alimentaires destinés à améliorer la santé.,Produit connecté,Produit,Hybride,Santé,International (Eu),Bénéficiaires,B2B2C,Pay to play,1963/01/01,,10.86Z,ETI,Société par actions simplifiée,LES TAILLADES 12700 CAPDENAC-GARE,12,France,No,https://www.nutergia.com/fr/fr
"Helpy ",920984119,Création de solutions vidéo ludiques visant à renforcer le lien social et à soutenir les personnes les plus vulnérables.,Produit connecté,Produit,Hybride,Lifestyle,National,Proches,B2B2C,Abonnement,2022/10/31,,96.09Z,PME,Société par actions simplifiée,180 CHEMIN DE BORDENAVE 64230 CAUBIOS-LOOS,64,France,No,https://helpy-lejeu.fr/
Alter Eco Santé,414849745,"Conception, développement et commercialisation de dispositifs médicaux destinés au transfert et à la manutention de personnes fragilisées, axés sur le maintien de l'autonomie, la prévention des chutes et des troubles musculo-squelettiques.",Produit connecté,Produit,Hybride,Santé,International (Monde),Bénéficiaires,B2C,Pay to play,1998/01/05,,46.46Z,PME,Société par actions simplifiée,7 IMPASSE DU PRADIE 31270 VILLENEUVE-TOLOSANE,31,France,No,https://www.alterecosante.net/fr/
Accédons,821917671,"Distributeur et installateur de monte-escaliers, cet équipement facilite l'accès des personnes à mobilité réduite aux différents niveaux d'un bâtiment, améliorant ainsi leur autonomie et leur qualité de vie.",Produit connecté,Produit,Hybride,Autonomie,National,Bénéficiaires,B2B2C,Pay to play,2016/07/29,,46.19B,PME,Société à responsabilité limitée (SARL),3 BOULEVARD DU MASSACRE 44800 SAINT-HERBLAIN,44,France,No,https://www.accedons.fr
Serenly,919359760,"Des appartements adaptés et équipés pour les seniors de plus de 60 ans, offrant des loyers accessibles, sécurité et convivialité, situés près des commerces et proposant des activités quotidiennes.",Produit supervisé,Produit,Low Tech,Logement,National,Bénéficiaires,"B2B, B2B2C, B2C",Loyer,2022/09/01,,68.32A,ETI,Société par actions simplifiée,25 RUE DE BAYARD 31000 TOULOUSE,31,France,No,https://www.serenly.fr/
Bocolila,904882297,"Gamme de recettes mixées et gourmandes, longue conservation, destinées aux particuliers fragilisés à domicile, comme les personnes âgées, les patients post-opératoires, ceux atteints de maladies neurodégénératives ou de cancer, ainsi que les personnes en situation de handicap.",Produit supervisé,Produit,Low Tech,Santé,National,Bénéficiaires,"B2B, B2B2C, B2C",Pay to play,2021/10/28,,10.85Z,PME,Société par actions simplifiée,1 IMPASSE HALLEY 26760 BEAUMONT-LES-VALENCE,26,France,No,www.bocolila.fr
Carembouche,904354008,"Des compléments nutritionnels gourmands, sous forme de manger-main, ciblant les besoins des personnes âgées, en situation de handicap ou en convalescence, suscitant l’envie de grignoter.",Produit supervisé,Produit,Low Tech,Santé,National,EMS,"B2B, B2B2C",Pay to play,2021/10/14,,46.38B,PME,Société par actions simplifiée,22 RUE COQUILLIERE 91430 IGNY,91,France,No,www.carembouche.fr
Photilde,899390520,"Aide les acteurs de la silver economy à renforcer leur image et leur communication grâce à des photos authentiques et impactantes, créées sur mesure pour valoriser leurs solutions, équipes et actions, tout en évitant les banques d’images stéréotypées.",Produit supervisé,Produit,Low Tech,Communication,National,Entreprises,B2B,Pay to play,2021/05/01,,74.20Z,PME,Entrepreneur individuel,9 RUE DES JARDINS 17620 ECHILLAIS,17,France,No,www.photilde.com
Les carnets de Léon et Augustine,981308968,"Des cahiers d’activités et un agenda spécialement conçus pour stimuler la mémoire et les fonctions cognitives des seniors et des personnes atteintes de troubles comme Alzheimer, favorisant leur autonomie et leur bien-être à travers des exercices ludiques et accessibles.",Produit supervisé,Produit,Low Tech,Vie pratique,National,Bénéficiaires,B2C,Pay to play,2023/11/07,,47.91B,,Entrepreneur individuel,74 CHEMIN DE LA MARONNE 05230 AVANCON,05,France,No,https://www.lescarnetsdeleonetaugustine.fr/
Verdurable,534182191,"Conception et fabrication de jardinières réglables en hauteur et d’outils de jardinage ergonomiques pour faciliter le jardinage des personnes à mobilité réduite, permettant une position confortable, une utilisation simple et une participation intergénérationnelle.",Produit supervisé,Produit,Low Tech,Autonomie,National,Bénéficiaires,"B2B2C, B2C",Pay to play,2011/08/08,,46.47Z,PME,Société à responsabilité limitée (SARL),14 RUE CERES 93600 AULNAY-SOUS-BOIS,93,France,No,https://verdurable.fr/
Inergeen,828496471,"Conception, fabrication et commercialisation d'espaces modulaires haut de gamme et écoresponsables, incluant un module métallique démontable dédié au marché de l'évènementiel et un module de construction 100% bois à haute performance énergétique, conçu pour des pavillons écologiques et confortables pour les seniors.",Produit supervisé,Produit,Low Tech,Logement,National,Etat et collectivités publiques,"B2B, B2G",Autre,2017/01/30,,71.12B,PME,Société par actions simplifiée,27 RUE PAUL SABATIER 51430 BEZANNES,51,France,No,https://inergeen.com/
Hydratis,849664008,"Développement de produits dédiés à optimiser l’hydratation du corps, avec des solutions adaptées aux besoins individuels, à l’âge, à l’occasion ou aux pathologies entraînant une mauvaise hydratation ou déshydratation.",Produit supervisé,Produit,Low Tech,Santé,National,Bénéficiaires,B2B2C,Pay to play,2019/03/11,,74.90B,PME,Société par actions simplifiée,TECHNOPOLE ENVIRONNEMENT ARBOIS AV LOUIS PHILIBERT 13080 AIX EN PROVENCE,13,France,No,https://www.hydratis.co/
Apaleco,921688990,"Conception, fabrication et diffusion de tableaux d’activité interactifs permettant d’apaiser les personnes atteintes de maladies neuro-dégénératives ou d’autres troubles cognitifs, améliorant leur qualité de vie tout en soutenant le bien-être des soignants, utilisables en toute autonomie dans des résidences ou à domicile.",Produit supervisé,Produit,Low Tech,Santé,National,EMS,B2B,Subventions,2022/11/14,,47.74Z,PME,Société par actions simplifiée,CHEZ SDM 55 AVENUE MARCEAU 75016 PARIS,75,France,No,https://www.apaleco.com/
Upper,949473383,"Spécialiste des dispositifs médicaux, la société conçoit et distribue des solutions pour les questions d'autonomie et de mobilité.",Produit supervisé,Produit,Low Tech,Autonomie,International (Eu),EMS,B2B,Pay to play,2023/03/02,,72.11Z,PME,Société par actions simplifiée,18 RUE ALAIN SAVARY 25000 BESANCON,25,France,No,https://www.goupper.fr/
